EGTM,FlightCycle,WashingData
76.919792,408,0
76.827728,409,0
76.83812,410,0
76.929192,411,0
77.071808,412,0
77.221466,413,0
77.360672,414,0
77.476654,415,0
77.531052,416,0
77.493103,417,0
77.362816,418,0
77.11602,419,0
76.755394,420,0
76.289474,421,0
75.762505,422,0
75.267776,423,0
74.831284,424,0
74.48616,425,0
74.25135,426,0
74.099152,427,0
73.989746,428,0
73.907814,429,0
73.82505,430,0
73.73378,431,0
73.624786,432,0
73.491577,433,0
73.355736,434,0
73.268608,435,0
73.215965,436,0
73.191612,437,0
73.185944,438,0
73.138031,439,0
73.01445,440,0
72.812981,441,0
72.552841,442,0
72.275543,443,0
71.998199,444,0
71.709045,445,0
71.430588,446,0
71.165932,447,0
70.955887,448,0
70.815269,449,0
70.762932,450,0
70.78611,451,0
70.854744,452,0
70.945953,453,0
71.018646,454,0
71.057144,455,0
71.020096,456,0
70.917244,457,0
70.787163,458,0
70.683464,459,0
70.615189,460,0
70.588715,461,0
70.645905,462,0
70.83181,463,0
71.171242,464,0
71.609955,465,0
72.102684,466,0
72.621399,467,0
73.108955,468,0
73.562592,469,0
73.99646,470,0
74.388336,471,0
74.678505,472,0
74.889137,473,0
75.032127,474,1
75.114311,475,0
75.158592,476,0
75.156746,477,0
75.131729,478,0
75.081322,479,0
75.035896,480,0
75.070999,481,0
75.219269,482,0
75.496552,483,0
75.917244,484,0
76.463074,485,0
77.089661,486,0
77.732605,487,0
78.322289,488,0
78.835701,489,0
79.189255,490,0
79.37674,491,0
79.389091,492,0
79.24807,493,0
78.993416,494,0
78.649872,495,0
78.27948,496,0
77.890251,497,0
77.508781,498,0
77.112968,499,0
76.724541,500,0
76.389862,501,0
76.096779,502,0
75.865364,503,0
75.690536,504,0
75.529572,505,0
75.364304,506,0
75.179001,507,0
74.986671,508,0
74.800331,509,0
74.581528,510,0
74.347748,511,0
74.103699,512,0
73.851273,513,0
73.605965,514,0
73.40078,515,0
73.286629,516,0
73.258186,517,0
73.311737,518,0
73.451103,519,0
73.652496,520,0
73.904884,521,0
74.230057,522,0
74.610748,523,0
75.005905,524,0
75.394356,525,0
75.745003,526,0
76.024368,527,0
76.223351,528,0
76.304405,529,0
76.249153,530,0
76.059547,531,0
75.75071,532,0
75.333801,533,0
74.820389,534,0
74.236473,535,0
73.64637,536,0
73.077682,537,0
72.603767,538,0
72.262329,539,0
72.110275,540,0
72.162819,541,0
72.378334,542,0
72.740456,543,0
73.216209,544,0
73.718529,545,0
74.197083,546,0
74.539742,547,0
74.7164,548,0
74.717804,549,0
74.52832,550,0
74.16713,551,0
73.678314,552,0
73.10569,553,0
72.509308,554,0
71.953865,555,0
71.52253,556,0
71.254211,557,0
71.191444,558,0
71.322235,559,0
71.619247,560,0
72.067307,561,0
72.581223,562,0
73.080032,563,0
73.498077,564,0
73.810471,565,0
73.99279,566,0
74.053879,567,0
74.046097,568,0
74.003242,569,0
